date,min_level,avg_level,max_level
2024-07-29,-1.880,-0.006,0.040
2024-07-30,-1.870,-0.008,0.040
2024-07-31,-0.010,0.009,0.020
2024-08-01,-0.060,0.001,0.010
2024-08-02,0.010,0.010,0.010
2024-08-03,0.010,0.010,0.010
2024-08-04,0.000,0.009,0.010
2024-08-05,0.010,0.010,0.010
2024-08-06,0.000,0.008,0.050
2024-08-07,0.000,0.010,0.010
2024-08-08,0.010,0.010,0.010
2024-08-09,0.000,0.015,0.040
2024-08-10,-0.050,0.014,0.040
2024-08-11,-0.030,0.019,0.040
2024-08-12,-1.870,0.007,0.040
2024-08-13,-1.860,-0.021,0.040
2024-08-14,-0.020,0.008,0.010
2024-08-15,0.000,0.010,0.010
2024-08-16,0.010,0.010,0.010
2024-08-17,0.010,0.010,0.010
2024-08-18,0.010,0.010,0.010
2024-08-19,0.000,0.012,0.040
2024-08-20,0.010,0.010,0.030
2024-08-21,0.010,0.010,0.010
2024-08-22,0.010,0.010,0.010
2024-08-23,0.010,0.010,0.020
2024-08-24,0.010,0.019,0.070
2024-08-25,-1.860,-0.030,0.040
2024-08-26,-1.870,-0.155,0.040
2024-08-27,-1.860,-0.526,0.040
2024-08-28,0.000,0.010,0.010
2024-08-29,0.010,0.010,0.010
2024-08-30,0.000,0.009,0.010
2024-08-31,0.010,0.010,0.010
2024-09-01,0.000,0.006,0.020
2024-09-02,-1.860,0.000,0.060
2024-09-03,0.010,0.010,0.010
2024-09-04,0.010,0.010,0.010
2024-09-05,0.010,0.065,0.170
2024-09-06,0.030,0.039,0.060
2024-09-07,0.020,0.042,0.130
2024-09-08,0.040,0.060,0.090
2024-09-09,0.020,0.026,0.030
2024-09-10,0.020,0.020,0.020
2024-09-11,0.010,0.020,0.020
2024-09-12,0.010,0.012,0.030
2024-09-13,-0.030,0.007,0.050
2024-09-14,0.010,0.012,0.020
2024-09-15,0.010,0.010,0.010
2024-09-16,0.010,0.010,0.010
2024-09-17,0.010,0.010,0.010
2024-09-18,0.010,0.010,0.010
2024-09-19,0.010,0.010,0.010
2024-09-20,0.010,0.010,0.010
2024-09-21,0.010,0.010,0.010
2024-09-22,0.010,0.032,0.150
2024-09-23,0.010,0.026,0.120
2024-09-24,0.020,0.022,0.030
2024-09-25,0.030,0.038,0.150
2024-09-26,0.030,0.035,0.060
2024-09-27,0.020,0.025,0.050
2024-09-28,0.020,0.020,0.020
2024-09-29,0.020,0.047,0.170
2024-09-30,0.030,0.030,0.030
2024-10-01,0.020,0.024,0.030
2024-10-02,0.020,0.020,0.020
2024-10-03,0.010,0.019,0.020
2024-10-04,0.010,0.015,0.020
2024-10-05,0.010,0.013,0.020
2024-10-06,0.010,0.033,0.170
2024-10-07,0.020,0.032,0.080
2024-10-08,0.080,0.080,0.080
2024-10-09,0.030,0.039,0.060
2024-10-10,0.030,0.030,0.030
2024-10-11,0.020,0.028,0.030
2024-10-12,0.020,0.021,0.030
2024-10-13,0.020,0.021,0.060
2024-10-14,0.030,0.064,0.160
2024-10-15,0.030,0.039,0.120
2024-10-16,0.070,0.123,0.230
2024-10-17,0.030,0.054,0.090
2024-10-18,0.030,0.031,0.060
2024-10-19,0.030,0.084,0.250
2024-10-20,0.030,0.041,0.060
2024-10-21,0.030,0.030,0.030
2024-10-22,0.020,0.024,0.030
2024-10-23,0.020,0.020,0.020
2024-10-24,0.020,0.022,0.070
2024-10-25,0.020,0.025,0.050
2024-10-26,0.020,0.020,0.020
2024-10-27,0.020,0.020,0.020
2024-10-28,0.010,0.012,0.030
2024-10-29,0.010,0.019,0.020
2024-10-30,0.020,0.020,0.030
2024-10-31,0.020,0.020,0.020
