Name,Sub Area,Ground,Club ID,Team Name,Adult male 11v11 (16-45),Adult female 11v11 (16-45),Youth male 11v11 (12-15),Youth female 11v11 (12-15),Youth male 9v9 (10-11),Youth female 9v9 (10-11),MS 7v7 (8-9),MS 5v5 (6-7),Team ID,Day Plays On,Adult male/female football sat am,Adult male/female football sat pm,Adult male/female football sun am,Adult male/female football sun pm,Adult male/female football mw,Youth male/female football 11v11 sat am,Youth male/female football 11v11 sat pm,Youth male/female football 11v11 sun am,Youth male/female football 11v11 sun pm,Youth male/female football 11v11 mw,Youth male/female football 9v9 sat am,Youth male/female football 9v9 sat pm,Youth male/female football 9v9 sun am,Youth male/female football 9v9 sun pm,Youth male/female football 9v9 mw,Minisoccer 7v7 sat am,Minisoccer 7v7 sat pm,Minisoccer 7v7 sun am,Minisoccer 7v7 sun pm,Minisoccer 7v7 mw,Minisoccer 5v5 sat am,Minisoccer 5v5 sat pm,Minisoccer 5v5 sun am,Minisoccer 5v5 sun pm,Minisoccer 5v5 mw
Plymouth University Intramural Wednesday Football League F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",233846,Geogsoc Tornadoes,1,,,,,,,,11461404,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Wednesday Football League F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",233846,Civsoc Falcons,1,,,,,,,,11461411,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Wednesday Football League F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",233846,Medsoc,1,,,,,,,,11695467,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Wednesday Football League F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",233846,PLUMS FC,1,,,,,,,,11461415,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Wednesday Football League F.C.,Peverell & Hartley,"Central Park Playing Fields (including Sports Plateau, Tip Site, Cottage Field, Barn Park Road sites",233846,UPFC Joint,1,,,,,,,,11461407,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Barne Barton Junior Rangers F.C.,Barne Barton,Riverside Community Primary School (Estuary Way),235387,U12,,,,,1,,,,11570901,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Barne Barton Junior Rangers F.C.,Barne Barton,Riverside Community Primary School (Estuary Way),235387,U10,,,,,,,1,,11615273,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U11 Girls,,,,,,1,,,11573028,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U8,,,,,,,,1,11544941,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U10 Kolts,,,,,,,1,,11634811,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U16,,,1,,,,,,11657752,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U12,,,,,1,,,,11654535,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U11,,,,,1,,,,11622703,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U13,,,1,,,,,,11655115,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Kings F.C.,St Budeaux & Kings Tamerton,Marine Academy,82339,U14,,,1,,,,,,11660563,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Special Olympics Plymouth & District F.C.,Ham & Pennycross,All Saints Academy,233015,First,1,,,,,,,,11454175,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U13a Girls,,,,1,,,,,11605987,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
