Name,Sub Area,Ground,Club ID,Team Name,Adult male 11v11 (16-45),Adult female 11v11 (16-45),Youth male 11v11 (12-15),Youth female 11v11 (12-15),Youth male 9v9 (10-11),Youth female 9v9 (10-11),MS 7v7 (8-9),MS 5v5 (6-7),Team ID,Day Plays On,Adult male/female football sat am,Adult male/female football sat pm,Adult male/female football sun am,Adult male/female football sun pm,Adult male/female football mw,Youth male/female football 11v11 sat am,Youth male/female football 11v11 sat pm,Youth male/female football 11v11 sun am,Youth male/female football 11v11 sun pm,Youth male/female football 11v11 mw,Youth male/female football 9v9 sat am,Youth male/female football 9v9 sat pm,Youth male/female football 9v9 sun am,Youth male/female football 9v9 sun pm,Youth male/female football 9v9 mw,Minisoccer 7v7 sat am,Minisoccer 7v7 sat pm,Minisoccer 7v7 sun am,Minisoccer 7v7 sun pm,Minisoccer 7v7 mw,Minisoccer 5v5 sat am,Minisoccer 5v5 sat pm,Minisoccer 5v5 sun am,Minisoccer 5v5 sun pm,Minisoccer 5v5 mw
Sporting Plymouth F.C.,Stonehouse,Victoria Park,232070,1st,1,,,,,,,,11440644,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Hope F.C.,East End,Tothill Park,221574,1st,1,,,,,,,,11260587,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
AFC Plympton Youth,Woodford,Heles School,80475,U10,,,,,,,1,,11677716,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
AFC Plympton Girls,Ham & Pennycross,Treveneague Gardens,222861,U15,,,,1,,,,,11633762,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Belgrave F.C.,,Staddiscombe Playing Field,232068,1st,1,,,,,,,,11440588,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Trophyman Youth F.C.,Devonport,Brickfields,80478,U8,,,,,,,,1,11698210,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Barne Barton Rangers  F.C.,,Staddiscombe Playing Field,235986,1st,1,,,,,,,,11490538,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Kitto FC,Honicknowle,Chaucer Way,237818,1st,1,,,,,,,,11611405,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Saltram F.C.,Mount Gould,Tothill Park,80882,1st,1,,,,,,,,11024818,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth Kolts Junior F.C.,Barne Barton,Bull Point,80545,U15,,,1,,,,,,11653618,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Trophyman Youth F.C.,Devonport,Brickfields,80478,U12,,,,,1,,,,11656125,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
The Navy Inn F.C.,City Centre,Milbay Park,127605,1st,1,,,,,,,,11340727,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Woolwell Junior F.C.,,Plymouth Argaum,81456,U13,,,1,,,,,,11668071,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Railway Beacon Youth F.C.,Devonport,Devonport Park,80632,U14,,,1,,,,,,11634217,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Kolts Junior F.C.,Barne Barton,Bull Point,80545,U13,,,1,,,,,,11679663,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Devonport,Devonport Park,127427,U14,,,1,,,,,,11572304,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Friary Mill Youth F.C.,Efford,Higher Efford,207704,U15,,,1,,,,,,11672835,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Friary Vaults F.C.,Stonehouse,Victoria Park,224513,2nd,1,,,,,,,,11441843,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Woolwell Junior F.C.,,Plymouth Argaum,81456,U15,,,1,,,,,,11656220,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Windmill FC,Stonehouse,Victoria Park,81355,1st,1,,,,,,,,11026667,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Woolwell Junior F.C.,,Plymouth Argaum,81456,U7,,,,,,,,1,11667424,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Bar Sol Ona Sunday F.C.,East End,Tothill Park,220313,1st,1,,,,,,,,11243821,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Friary Mill Youth F.C.,Efford,Higher Efford,207704,U13,,,1,,,,,,11636620,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Bar Sol Ona Sunday F.C.,East End,Tothill Park,220313,2nd,1,,,,,,,,11450780,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Elburton Villa F.C.,Elburton & Dunstone,Elburton Villa,80653,1st,1,,,,,,,,11024347,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Seymour Arms F.C.,East End,Tothill Park,82760,1st,1,,,,,,,,11032888,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U9,,,,,,,1,,11622350,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Railway Beacon Youth F.C.,Devonport,Brickfields,80632,U16,,,1,,,,,,11673025,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U13 Girls,,,,1,,,,,11664057,Sunday,,,,,,1,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U16,,,1,,,,,,11618883,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Nova Homes F.C.,Stonehouse,Victoria Park,232069,2nd,1,,,,,,,,11482560,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
South West Association Portugal F.C.,Devonport,Brickfields,238813,Eagles,1,,,,,,,,11698102,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U14,,,1,,,,,,11470171,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Southway,Bond Street,80604,U12,,,,,1,,,,11665845,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Barnes United F.C.,Honicknowle,West Park Recreation Ground,80780,1st,1,,,,,,,,11024486,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Lakeside Athletic F.C.,Ernesettle,Lakeside,80399,1st,1,,,,,,,,11469456,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U18Colts,1,,,,,,,,11632138,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Plymouth Argyle Youth F.C.,Elburton & Dunstone,Elburton Villa,146636,U18,1,,,,,,,,11621316,Saturday,,,,1,,,,,,,,,,,,,,,,,,,,,
Devonport Boys F.C.,Stoke,Devonport High School for Boys,140592,1st,1,,,,,,,,10947704,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
AC Plymouth Youth F.C.,Higher Compton & Mannamead,Collins Park,211984,U10 Colts,,,,,,,1,,11646912,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Railway Beacon Youth F.C.,Higher Compton & Mannamead,Collins Park,80632,U10,,,,,,,1,,11661963,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Staddiscombe Colts F.C.,Turnchapel Hooe & Oreston,Jennycliffe,147527,1st,1,,,,,,,,11699088,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
University of St Mark & St John F.C.,Estover Glenholt & Derriford East,Marjons,224521,1st,1,,,,,,,,11305777,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth Marjon F.C.,Estover Glenholt & Derriford East,Marjons,220537,1st,1,,,,,,,,11247258,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Chaddlewood Miners Youth F.C.,Colebrook Newnham & Ridgeway,Peacock Meadow,80497,U9,,,,,,,1,,11620385,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Belliver FC,Widewell,Widewell School,230699,U10,,,,,,,1,,11615058,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U13 Girls,,,,1,,,,,11626038,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Chaddlewood Miners Youth F.C.,Leigham & Mainstone,Hoskins Park,80497,U16,,,1,,,,,,11620471,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Chaddlewood Miners Youth F.C.,Colebrook Newnham & Ridgeway,Peacock Meadow,80497,U7,,,,,,,,1,11642765,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Railway Beacon Youth F.C.,Higher Compton & Mannamead,Collins Park,80632,U9,,,,,,,1,,11659428,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U9,,,,,,,1,,11529151,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Vospers Oak Villa F.C.,North Prospect & Weston Mill,Weston Mill Oak Villa,80822,1st,1,,,,,,,,11024535,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Marjon Youth F.C.,Estover Glenholt & Derriford East,Marjons,224394,U11a,,,,,1,,,,11646653,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Morley Rangers F.C.,Plymstock & Radford,Plymstock Community College,146782,2nd,1,,,,,,,,11171377,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U14,,,1,,,,,,11630684,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Ham & Pennycross,Mayflower Community School,127427,U12,,,,,1,,,,11543681,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Whitleigh,Sir. John Hunt School,80604,U13,,,1,,,,,,11662924,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marjon F.C.,Estover Glenholt & Derriford East,Marjons,80730,1st,1,,,,,,,,11188955,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Marjon Ladies F.C.,Estover Glenholt & Derriford East,Marjons,219282,First,,1,,,,,,,11224576,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Staddiscombe Colts Youth F.C.,Turnchapel Hooe & Oreston,Jennycliffe,147528,U13,,,1,,,,,,11606820,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Tamerton Foliot,Mary Deane CofE PS,80604,U10,,,,,,,1,,11686888,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Chaddlewood Miners Youth F.C.,Leigham & Mainstone,Hoskins Park,80497,U11,,,,,1,,,,11663161,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U15,,,1,,,,,,11677749,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymstock United Youth F.C.,Plymstock & Radford,Pomphlett Primary School,146843,U11 Girls,,,,,,1,,,11615283,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Argyle Ladies F.C.,North Prospect & Weston Mill,Weston Mill Oak Villa,146640,1st,,1,,,,,,,11004020,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U14,,,1,,,,,,11601225,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U16,,,1,,,,,,11601226,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Plymstock & Radford,Pomphlett Primary School,80975,U12,,,,,1,,,,11669064,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U9,,,,,,,1,,11601113,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Kitto All Saints Youth F.C.,Ham & Pennycross,All Saints Academy,81075,U8,,,,,,,,1,11633269,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U14,,,1,,,,,,11550421,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U16,,,1,,,,,,11570314,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U15,,,1,,,,,,11590916,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U12,,,,,1,,,,11601112,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U13,,,1,,,,,,11615526,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U10,,,,,,,1,,11668989,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U12,,,,,1,,,,11658945,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Marine Academy Plymouth Junior F.C.,St Budeaux & Kings Tamerton,Marine Academy,80629,U16,,,1,,,,,,11625474,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U15,,,1,,,,,,11627009,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Mayflower Football Coaching Club F.C.,Honicknowle,Knowle Battery,80970,U18,1,,,,,,,,11636389,Saturday,,,,1,,,,,,,,,,,,,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U18 ,1,,,,,,,,11582973,Saturday,,,,1,,,,,,,,,,,,,,,,,,,,,
SB Frankfort F.C.,East End,Tothill (Enclosure),80922,U18,1,,,,,,,,11646163,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U10,,,,,,,1,,11615194,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U9,,,,,,,1,,11615195,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Hooe Rovers Youth F.C.,Goosewell,Coombe Dean School,80975,U9a,,,,,,,1,,11641509,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
University of Plymouth Dukes F.C.,,Staddiscombe Playing Field,226024,1st,1,,,,,,,,11324285,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
University of Plymouth Ladies F.C.,,Staddiscombe Playing Field,80658,2nd,,1,,,,,,,11260891,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Sunday Football League F.C.,,Staddiscombe Playing Field,233842,Education Society,1,,,,,,,,11461389,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
University of Plymouth Dukes F.C.,,Staddiscombe Playing Field,226024,2nd,1,,,,,,,,11324286,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Sunday Football League F.C.,,Staddiscombe Playing Field,233842,UPFC Rangers ,1,,,,,,,,11461388,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Sunday Football League F.C.,,Staddiscombe Playing Field,233842,Christian Union,1,,,,,,,,11461394,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Sunday Football League F.C.,,Staddiscombe Playing Field,233842,Dentsoc,1,,,,,,,,11461391,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
University of Plymouth Midweek F.C.,,Staddiscombe Playing Field,148242,5th,1,,,,,,,,11026513,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
University of Plymouth Ladies F.C.,,Staddiscombe Playing Field,80658,1st,,1,,,,,,,11199827,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
University of Plymouth Midweek F.C.,,Staddiscombe Playing Field,148242,4th,1,,,,,,,,11026510,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
University of Plymouth Midweek F.C.,,Staddiscombe Playing Field,148242,3rd,1,,,,,,,,11260887,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
University of Plymouth Midweek F.C.,,Staddiscombe Playing Field,148242,1st,1,,,,,,,,11260883,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Plymouth University Intramural Sunday Football League F.C.,,Staddiscombe Playing Field,233842,Geogsoc ,1,,,,,,,,11461365,Sunday,,,1,,,,,,,,,,,,,,,,,,,,,,
University of Plymouth Midweek F.C.,,Staddiscombe Playing Field,148242,2nd,1,,,,,,,,11260886,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
AFC Plympton Girls,Ham & Pennycross,Treveneague Gardens,222861,U13,,,,1,,,,,11635406,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
AC Plymouth Youth F.C.,Higher Compton & Mannamead,Collins Park,211984,U9,,,,,,,1,,11658685,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Keyham Kolts Youth F.C.,Devonport,Devonport Park,127427,U13,,,1,,,,,,11591802,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Keyham Kolts Disability F.C.,Keyham,Northdown Playing Field,238806,U16,,,,,,,,,11698061,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Marjon Youth F.C.,Leigham & Mainstone,Leigham Primary School,224394,U10,,,,,,,1,,11630030,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
SB Frankfort F.C.,East End,Tothill (Enclosure),80922,U8,,,,,,,,1,11697418,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Morley Rangers Women F.C.,Plymstock & Radford,Plymstock Community College,235530,1st,,1,,,,,,,11473455,Sunday,,,,1,,,,,,,,,,,,,,,,,,,,,
Plymouth Kolts Junior F.C.,Southway,Beechwood Primary |School,80545,U9,,,,,,,1,,11678773,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U18,,1,,,,,,,11631233,Saturday,1,,,,,,,,,,,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U14,,,1,,,,,,11617930,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymouth Argyle Youth F.C.,Elburton & Dunstone,Elburton Villa,146636,U16,,,1,,,,,,11630578,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U7,,,,,,,,1,11655780,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Hideaway Cafe F.C.,Turnchapel Hooe & Oreston,Jennycliffe,227858,1st,1,,,,,,,,11360573,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
Plymouth Parkway F.C.,Manadon & Widey,Plymouth Parkway FC,82678,2nd,1,,,,,,,,11113653,Saturday,,1,,,,,,,,,,,,,,,,,,,,,,,
AC Plymouth Youth F.C.,Higher Compton & Mannamead,Collins Park,211984,U8,,,,,,,,1,11677585,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Keyham Kolts Juniors F.C.,Keyham,Northdown Playing Field,230092,U11 Girls,,,,,,1,,,11697981,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Trophyman Youth F.C.,Higher Compton & Mannamead,Collins Park,80478,U9,,,,,,,1,,11632654,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Chaddlewood Miners Youth F.C.,Leigham & Mainstone,Hoskins Park,80497,U15,,,1,,,,,,11620964,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
SB Frankfort F.C.,Eggbuckland,Eggbuckland Community School,80922,U13,,,1,,,,,,11680376,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
YMCA Discovery College F.C.,Manadon & Widey,Sheridan Road Playing Field,228046,1st,1,,,,,,,,11364723,Wednesday,,,,,1,,,,,,,,,,,,,,,,,,,,
Mayflower Football Coaching Club F.C.,Honicknowle,Knowle Battery,80970,U16,,,1,,,,,,11624509,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Activate Youth F.C.,Eggbuckland,Eggbuckland Community School,80971,U11,,,,,1,,,,11631407,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Marjon Youth F.C.,Leigham & Mainstone,Leigham Primary School,224394,U10a,,,,,,,1,,11684657,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
SB Frankfort F.C.,Ham & Pennycross,Treveneague Gardens,80922,U13 Girls,,,,1,,,,,11686431,Saturday,,,,,,1,,,,,1,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U11,,,,,1,,,,11597468,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Keyham Kolts Youth F.C.,Keyham,Northdown Playing Field,127427,U11 Girls,,,,,,1,,,11646237,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Southway,Becton Dickinson,80604,U12b,,,,,1,,,,11686887,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U11 Girls,,,,,,1,,,11697982,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
South West Football Academy F.C.,Southway,Becton Dickinson,236639,U9-U5,,,,,,,,,11668399,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,
SB Frankfort F.C.,Eggbuckland,Eggbuckland Community School,80922,U12,,,,,1,,,,11673548,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Whitleigh,Sir. John Hunt School,80604,U11a,,,,,1,,,,11667925,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U12,,,,,1,,,,11652267,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Kitto All Saints Youth F.C.,Honicknowle,Knowle Battery,81075,U11,,,,,1,,,,11630857,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Tamerton Foliot Youth F.C.,Southway,Becton Dickinson,80604,U15,,,1,,,,,,11677288,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Belliver FC,Widewell,Widewell School,230699,U11,,,,,1,,,,11698182,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymouth Kolts Junior F.C.,Southway,Beechwood Primary |School,80545,U10,,,,,,,1,,11675682,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U13,,,1,,,,,,11586226,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U16,,,1,,,,,,11556745,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U10,,,,,,,1,,11573035,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U14,,,1,,,,,,11570743,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U12,,,,,1,,,,11638240,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Sporting Lipson Youth F.C.,Lipson & Laira,Lipson Community College,229754,U11,,,,,1,,,,11615633,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U13,,,1,,,,,,11696780,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U9a,,,,,,,1,,11650765,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U9,,,,,,,1,,11631708,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Goals Soccer Schools F.C.,Plymstock & Radford,Plymstock Community College,238619,U8b,,,,,,,,1,11693909,Sunday,,,,,,,,,,,,,,,,,,,,,,,1,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U11b,,,,,1,,,,11615281,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U16 Colts,,,1,,,,,,11648245,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U15,,,1,,,,,,11696778,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U12,,,,,1,,,,11652569,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Morley Rangers Juniors F.C.,Plymstock & Radford,Plymstock Community College,80501,U8,,,,,,,,1,11696782,Saturday,,,,,,,,,,,,,,,,,,,,,1,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U13,,,1,,,,,,11652138,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U15 Colts,,,1,,,,,,11664926,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U12a,,,,,1,,,,11556754,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U14 Colts,,,1,,,,,,11654532,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U11c,,,,,1,,,,11674821,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U10b,,,,,,,1,,11615280,Sunday,,,,,,,,,,,,,,,,,,1,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U10,,,,,,,1,,11645515,Saturday,,,,,,,,,,,,,,,,1,,,,,,,,,
Plymstock United Colts F.C.,Plymstock & Radford,Deans Cross/Forresters Field,81373,U10a,,,,,,,1,,11615279,Sunday,,,,,,,,,,,,,,,,,,1,,,,,,,
Elburton Villa Junior F.C.,Elburton & Dunstone,Elburton Villa,80498,U11,,,,,1,,,,11605913,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U11,,,,,1,,,,11558097,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U15,,,1,,,,,,11558096,Saturday,,,,,,1,,,,,,,,,,,,,,,,,,,
YMCA All Saints F.C.,Ham & Pennycross,All Saints Academy,149030,U11a,,,,,1,,,,11529209,Saturday,,,,,,,,,,,1,,,,,,,,,,,,,,
